Company,AdaBoost Accuracy,AdaBoost CV Mean Score,AdaBoost CV Std Score,AdaBoost Confusion Matrix,AdaBoost Precision (bullish),AdaBoost Recall (bullish),AdaBoost F1-Score (bullish),AdaBoost Precision (neutral),AdaBoost Recall (neutral),AdaBoost F1-Score (neutral),AdaBoost Precision (bearish),AdaBoost Recall (bearish),AdaBoost F1-Score (bearish),SVM Accuracy,SVM CV Mean Score,SVM CV Std Score,SVM Confusion Matrix,SVM Precision (bullish),SVM Recall (bullish),SVM F1-Score (bullish),SVM Precision (neutral),SVM Recall (neutral),SVM F1-Score (neutral),SVM Precision (bearish),SVM Recall (bearish),SVM F1-Score (bearish),Random Forest Accuracy,Random Forest CV Mean Score,Random Forest CV Std Score,Random Forest Confusion Matrix,Random Forest Precision (bullish),Random Forest Recall (bullish),Random Forest F1-Score (bullish),Random Forest Precision (neutral),Random Forest Recall (neutral),Random Forest F1-Score (neutral),Random Forest Precision (bearish),Random Forest Recall (bearish),Random Forest F1-Score (bearish),Naive Bayes Accuracy,Naive Bayes CV Mean Score,Naive Bayes CV Std Score,Naive Bayes Confusion Matrix,Naive Bayes Precision (bullish),Naive Bayes Recall (bullish),Naive Bayes F1-Score (bullish),Naive Bayes Precision (neutral),Naive Bayes Recall (neutral),Naive Bayes F1-Score (neutral),Naive Bayes Precision (bearish),Naive Bayes Recall (bearish),Naive Bayes F1-Score (bearish),Logistic Regression Accuracy,Logistic Regression CV Mean Score,Logistic Regression CV Std Score,Logistic Regression Confusion Matrix,Logistic Regression Precision (bullish),Logistic Regression Recall (bullish),Logistic Regression F1-Score (bullish),Logistic Regression Precision (neutral),Logistic Regression Recall (neutral),Logistic Regression F1-Score (neutral),Logistic Regression Precision (bearish),Logistic Regression Recall (bearish),Logistic Regression F1-Score (bearish),Neural Network Accuracy,Neural Network CV Mean Score,Neural Network CV Std Score,Neural Network Confusion Matrix,Neural Network Precision (bullish),Neural Network Recall (bullish),Neural Network F1-Score (bullish),Neural Network Precision (neutral),Neural Network Recall (neutral),Neural Network F1-Score (neutral),Neural Network Precision (bearish),Neural Network Recall (bearish),Neural Network F1-Score (bearish)
Lloyds,0.7258181818181818,0.7582316578863839,0.0125271278378689,"[[386, 135, 25], [72, 398, 60], [14, 71, 214]]",0.8177966101694916,0.706959706959707,0.7583497053045186,0.6589403973509934,0.7509433962264151,0.7019400352733686,0.7157190635451505,0.7157190635451505,0.7157190635451505,0.7934545454545454,0.8396774016756753,0.013215344677729496,"[[427, 113, 6], [44, 459, 27], [14, 80, 205]]",0.8804123711340206,0.782051282051282,0.8283220174587779,0.7039877300613497,0.8660377358490566,0.7766497461928934,0.8613445378151261,0.68561872909699,0.7635009310986964,0.7978181818181819,0.8451191218347024,0.01255425248701768,"[[434, 84, 28], [56, 427, 47], [13, 50, 236]]",0.8628230616302187,0.7948717948717948,0.8274547187797903,0.7611408199643493,0.8056603773584906,0.7827681026581118,0.7588424437299035,0.7892976588628763,0.7737704918032787,0.6567272727272727,0.7064107482536486,0.0170682930250693,"[[404, 87, 55], [124, 285, 121], [39, 46, 214]]",0.7125220458553791,0.73992673992674,0.7259658580413297,0.6818181818181818,0.5377358490566038,0.6012658227848101,0.5487179487179488,0.7157190635451505,0.6211901306240929,0.7745454545454545,0.8117239040631358,0.013031592831518706,"[[427, 102, 17], [57, 422, 51], [12, 71, 216]]",0.8608870967741935,0.782051282051282,0.8195777351247601,0.7092436974789916,0.7962264150943397,0.7502222222222222,0.7605633802816901,0.7224080267558528,0.7409948542024014,0.7629090909090909,0.8188256571510779,0.012243456250714008,"[[427, 106, 13], [59, 407, 64], [15, 69, 215]]",0.8522954091816367,0.782051282051282,0.8156638013371538,0.6993127147766323,0.7679245283018868,0.7320143884892086,0.7363013698630136,0.7190635451505016,0.727580372250423
IAG,0.7042640990371389,0.7400842036665466,0.029992819903026546,"[[151, 90, 14], [39, 291, 16], [14, 42, 70]]",0.7401960784313726,0.592156862745098,0.6579520697167756,0.6879432624113475,0.8410404624277457,0.7568270481144344,0.7,0.5555555555555556,0.6194690265486725,0.7372764786795049,0.8804462279844284,0.022934175550582615,"[[159, 92, 4], [22, 320, 4], [1, 68, 57]]",0.8736263736263736,0.6235294117647059,0.7276887871853547,0.6666666666666666,0.9248554913294798,0.774818401937046,0.8769230769230769,0.4523809523809524,0.5968586387434555,0.781292984869326,0.8639521988418423,0.028376654509245345,"[[180, 67, 8], [27, 310, 9], [4, 44, 78]]",0.8530805687203792,0.7058823529411765,0.7725321888412017,0.7363420427553444,0.8959537572254336,0.8083441981747066,0.8210526315789474,0.6190476190476191,0.7058823529411765,0.657496561210454,0.7613652083940708,0.015209821443805418,"[[194, 42, 19], [91, 195, 60], [14, 23, 89]]",0.6488294314381271,0.7607843137254902,0.7003610108303249,0.75,0.5635838150289018,0.6435643564356436,0.5297619047619048,0.7063492063492064,0.6054421768707483,0.7359009628610729,0.8388385839149846,0.017678105072728174,"[[177, 69, 9], [38, 282, 26], [7, 43, 76]]",0.7972972972972973,0.6941176470588235,0.7421383647798742,0.7157360406091371,0.815028901734104,0.7621621621621621,0.6846846846846847,0.6031746031746031,0.6413502109704642,0.71939477303989,0.8570095407956189,0.015032584074169061,"[[188, 54, 13], [47, 267, 32], [9, 49, 68]]",0.7704918032786885,0.7372549019607844,0.7535070140280561,0.7216216216216216,0.7716763005780347,0.7458100558659218,0.6017699115044248,0.5396825396825397,0.5690376569037657
Vodafone,0.7734375,0.7722460072678413,0.027264253750914055,"[[275, 77, 16], [55, 423, 34], [9, 41, 94]]",0.8112094395280236,0.7472826086956522,0.7779349363507779,0.7818853974121996,0.826171875,0.8034188034188035,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.802734375,0.8739760894127707,0.020600995534970253,"[[278, 87, 3], [43, 454, 15], [5, 49, 90]]",0.852760736196319,0.7554347826086957,0.8011527377521613,0.7694915254237288,0.88671875,0.8239564428312159,0.8333333333333334,0.625,0.7142857142857143,0.8359375,0.8783462607261734,0.018993631528217574,"[[301, 58, 9], [39, 442, 31], [5, 26, 113]]",0.8724637681159421,0.8179347826086957,0.844319775596073,0.8403041825095057,0.86328125,0.8516377649325626,0.738562091503268,0.7847222222222222,0.7609427609427609,0.6748046875,0.7545897334106941,0.016540120338350978,"[[304, 43, 21], [135, 276, 101], [16, 17, 111]]",0.6681318681318681,0.8260869565217391,0.7387606318347509,0.8214285714285714,0.5390625,0.6509433962264151,0.47639484978540775,0.7708333333333334,0.5888594164456233,0.7861328125,0.8362184322227991,0.01706219573837195,"[[292, 67, 9], [60, 408, 44], [4, 35, 105]]",0.8202247191011236,0.7934782608695652,0.8066298342541437,0.8,0.796875,0.7984344422700587,0.6645569620253164,0.7291666666666666,0.695364238410596,0.7822265625,0.8680312700400036,0.01911037325474911,"[[294, 67, 7], [69, 407, 36], [11, 33, 100]]",0.786096256684492,0.7989130434782609,0.7924528301886793,0.8027613412228797,0.794921875,0.7988223748773308,0.6993006993006993,0.6944444444444444,0.6968641114982579
