Company,Accuracy,Confusion Matrix,Precision (Bullish),Recall (Bullish),F1-Score (Bullish),Precision (Neutral),Recall (Neutral),F1-Score (Neutral),Precision (Bearish),Recall (Bearish),F1-Score (Bearish)
Lloyds,0.8317167798254123,"{""Pred Bullish"":{""True Bullish"":722,""True Neutral"":152,""True Bearish"":21},""Pred Neutral"":{""True Bullish"":51,""True Neutral"":636,""True Bearish"":51},""Pred Bearish"":{""True Bullish"":10,""True Neutral"":62,""True Bearish"":357}}",,,,,,,,,
IAG,0.8366972477064221,"{""Pred Bullish"":{""True Bullish"":344,""True Neutral"":40,""True Bearish"":10},""Pred Neutral"":{""True Bullish"":38,""True Neutral"":427,""True Bearish"":38},""Pred Bearish"":{""True Bullish"":16,""True Neutral"":36,""True Bearish"":141}}",,,,,,,,,
Vodafone,0.8644951140065147,"{""Pred Bullish"":{""True Bullish"":506,""True Neutral"":39,""True Bearish"":6},""Pred Neutral"":{""True Bullish"":81,""True Neutral"":663,""True Bearish"":44},""Pred Bearish"":{""True Bullish"":8,""True Neutral"":30,""True Bearish"":158}}",,,,,,,,,
